id,year,month,sales,remarks,no_of_customer,ts,region
407,2025,January,63800.40,"Strong start with stable demand",585,"2026-05-14 21:50:22",VIC
408,2025,February,61250.75,"Slight seasonal drop",560,"2026-05-14 21:50:22",VIC
409,2025,March,66740.20,"Improved customer activity",610,"2026-05-14 21:50:22",VIC
410,2025,April,64590.30,"Stable regional sales",595,"2026-05-14 21:50:22",VIC
411,2025,May,68200.85,"Higher customer engagement",625,"2026-05-14 21:50:22",VIC
412,2025,June,70450.60,"Strong mid-year sales",645,"2026-05-14 21:50:22",VIC
413,2025,July,72100.95,"High retail demand",660,"2026-05-14 21:50:22",VIC
414,2025,August,69750.35,"Moderate slowdown",635,"2026-05-14 21:50:22",VIC
415,2025,September,73520.80,"Growth in repeat customers",675,"2026-05-14 21:50:22",VIC
416,2025,October,75200.10,"Peak monthly performance",690,"2026-05-14 21:50:22",VIC
417,2025,November,74180.55,"Consistent customer activity",680,"2026-05-14 21:50:22",VIC
418,2025,December,77340.90,"Strong year-end result",710,"2026-05-14 21:50:22",VIC
419,2025,January,71800.25,"Strong business demand",590,"2026-05-14 21:50:22",NSW
420,2025,February,69450.70,"Stable customer engagement",575,"2026-05-14 21:50:22",NSW
421,2025,March,74200.35,"High monthly growth",610,"2026-05-14 21:50:22",NSW
422,2025,April,73150.90,"Consistent sales performance",600,"2026-05-14 21:50:22",NSW
423,2025,May,76800.45,"Increased regional activity",630,"2026-05-14 21:50:22",NSW
424,2025,June,79450.20,"Strong mid-year demand",650,"2026-05-14 21:50:22",NSW
425,2025,July,81200.75,"High customer retention",665,"2026-05-14 21:50:22",NSW
426,2025,August,80340.60,"Stable high performance",655,"2026-05-14 21:50:22",NSW
427,2025,September,83650.95,"Excellent sales growth",690,"2026-05-14 21:50:22",NSW
428,2025,October,85900.30,"Peak sales performance",710,"2026-05-14 21:50:22",NSW
429,2025,November,84670.80,"Strong repeat purchases",700,"2026-05-14 21:50:22",NSW
430,2025,December,88120.55,"Best year-end sales",725,"2026-05-14 21:50:22",NSW
431,2025,January,76950.35,"Tourism-driven growth",550,"2026-05-14 21:50:22",QLD
432,2025,February,74800.40,"Seasonal variation observed",540,"2026-05-14 21:50:22",QLD
433,2025,March,79250.75,"High average transaction value",570,"2026-05-14 21:50:22",QLD
434,2025,April,78100.25,"Stable but volatile demand",560,"2026-05-14 21:50:22",QLD
435,2025,May,82500.80,"Rapid customer spending growth",590,"2026-05-14 21:50:22",QLD
436,2025,June,85450.60,"Strong seasonal demand",610,"2026-05-14 21:50:22",QLD
437,2025,July,87900.95,"Very high regional sales",630,"2026-05-14 21:50:22",QLD
438,2025,August,86150.30,"Slight monthly fluctuation",620,"2026-05-14 21:50:22",QLD
439,2025,September,90250.45,"Strong customer spending",650,"2026-05-14 21:50:22",QLD
440,2025,October,93600.70,"Highest monthly regional sales",675,"2026-05-14 21:50:22",QLD
441,2025,November,91800.35,"High but volatile sales",665,"2026-05-14 21:50:22",QLD
